time_start,exchange,market,open,high,low,close,volume
03/04/2016 11:41,BITF,BTC/USD,419.75,419.75,419.69,419.69,3.33866499
03/04/2016 11:42,BITF,BTC/USD,419.69,419.69,419.69,419.69,0
03/04/2016 11:43,BITF,BTC/USD,419.69,419.69,419.69,419.69,0
03/04/2016 11:44,BITF,BTC/USD,419.69,419.69,419.69,419.69,0
03/04/2016 11:45,BITF,BTC/USD,419.69,419.69,419.69,419.69,0
03/04/2016 11:46,BITF,BTC/USD,419.69,419.69,419.69,419.69,0
03/04/2016 11:47,BITF,BTC/USD,419.69,419.69,419.69,419.69,0
03/04/2016 11:48,BITF,BTC/USD,419.75,419.75,419.75,419.75,0.05
03/04/2016 11:49,BITF,BTC/USD,419.74,419.75,419.72,419.72,3.52744516
03/04/2016 11:50,BITF,BTC/USD,419.72,419.72,419.72,419.72,0
03/04/2016 11:51,BITF,BTC/USD,419.67,419.73,419.61,419.7,1.74118615
03/04/2016 11:52,BITF,BTC/USD,419.69,419.69,419.69,419.69,0.07143146
03/04/2016 11:53,BITF,BTC/USD,419.69,419.69,419.69,419.69,0
03/04/2016 11:54,BITF,BTC/USD,419.74,419.75,419.6,419.63,5.20439019
03/04/2016 11:55,BITF,BTC/USD,419.63,419.63,419.63,419.63,0.26
03/04/2016 11:56,BITF,BTC/USD,419.63,419.75,419.63,419.64,0.62558522
03/04/2016 11:57,BITF,BTC/USD,419.64,419.67,419.64,419.67,0.28
03/04/2016 11:58,BITF,BTC/USD,419.67,419.71,419.67,419.67,0.37687671
03/04/2016 11:59,BITF,BTC/USD,419.67,419.69,419.67,419.68,0.28
03/04/2016 12:00,BITF,BTC/USD,419.75,419.75,419.73,419.74,0.4203927
03/04/2016 12:01,BITF,BTC/USD,419.74,419.75,419.73,419.73,1.06034871
03/04/2016 12:02,BITF,BTC/USD,419.74,419.75,419.74,419.75,0.03
03/04/2016 12:03,BITF,BTC/USD,419.99,420,419.75,419.95,33.09043927
03/04/2016 12:04,BITF,BTC/USD,419.9,419.92,419.9,419.92,5.16
03/04/2016 12:05,BITF,BTC/USD,419.92,419.92,419.91,419.91,0.90459797
03/04/2016 12:06,BITF,BTC/USD,419.9,419.91,419.9,419.91,0.9291401
03/04/2016 12:07,BITF,BTC/USD,419.68,419.9,419.5,419.53,12.00337617
03/04/2016 12:08,BITF,BTC/USD,419.5,419.5,419.5,419.5,0.29662383
03/04/2016 12:09,BITF,BTC/USD,419.74,419.8,419.74,419.8,1.012
03/04/2016 12:10,BITF,BTC/USD,419.8,419.8,419.8,419.8,0
03/04/2016 12:11,BITF,BTC/USD,419.8,419.8,419.29,419.31,14.47271115
03/04/2016 12:12,BITF,BTC/USD,419.31,419.48,419.26,419.47,8.36774349
03/04/2016 12:13,BITF,BTC/USD,419.47,419.48,419.47,419.48,3.7724
03/04/2016 12:14,BITF,BTC/USD,419.48,419.48,419.48,419.48,0
